/home/fonwin/f9utwf/block/logs/20191118/omstw.log.TwfNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
334|20191118131209.095471|20191118131209.095581|20191118131209.095665|110|84
336|20191118131209.095489|20191118131209.095587|20191118131209.095668|98|81|18|6|3
338|20191118131209.095494|20191118131209.095588|20191118131209.095670|94|82|5|1|2
340|20191118131209.095499|20191118131209.095588|20191118131209.095671|89|83|5|0|1
342|20191118131209.095516|20191118131209.095589|20191118131209.095672|73|83|17|1|1
344|20191118131209.095520|20191118131209.095590|20191118131209.095673|70|83|4|1|1
346|20191118131209.095524|20191118131209.095591|20191118131209.095674|67|83|4|1|1
348|20191118131209.095528|20191118131209.095592|20191118131209.095675|64|83|4|1|1
350|20191118131209.095534|20191118131209.095592|20191118131209.095676|58|84|6|0|1
352|20191118131209.095539|20191118131209.095603|20191118131209.095677|64|74|5|11|1
354|20191118131209.095543|20191118131209.095604|20191118131209.095688|61|84|4|1|11
356|20191118131209.095545|20191118131209.095604|20191118131209.095689|59|85|2|0|1
358|20191118131209.095546|20191118131209.095605|20191118131209.095690|59|85|1|1|1
360|20191118131209.095548|20191118131209.095606|20191118131209.095692|58|86|2|1|2
362|20191118131209.095549|20191118131209.095606|20191118131209.095693|57|87|1|0|1
364|20191118131209.095550|20191118131209.095607|20191118131209.095694|57|87|1|1|1
366|20191118131209.095551|20191118131209.095608|20191118131209.095695|57|87|1|1|1
368|20191118131209.095552|20191118131209.095608|20191118131209.095696|56|88|1|0|1
370|20191118131209.095553|20191118131209.095609|20191118131209.095699|56|90|1|1|3
372|20191118131209.095554|20191118131209.095610|20191118131209.095701|56|91|1|1|2
374|20191118131209.095555|20191118131209.095610|20191118131209.095702|55|92|1|0|1
376|20191118131209.095556|20191118131209.095611|20191118131209.095703|55|92|1|1|1
378|20191118131209.095557|20191118131209.095612|20191118131209.095704|55|92|1|1|1
380|20191118131209.095558|20191118131209.095612|20191118131209.095705|54|93|1|0|1
382|20191118131209.095559|20191118131209.095613|20191118131209.095706|54|93|1|1|1
384|20191118131209.095560|20191118131209.095614|20191118131209.095707|54|93|1|1|1
386|20191118131209.095578|20191118131209.095614|20191118131209.095709|36|95|18|0|2
388|20191118131209.095585|20191118131209.095615|20191118131209.095710|30|95|7|1|1
390|20191118131209.095589|20191118131209.095615|20191118131209.095711|26|96|4|0|1
392|20191118131209.095592|20191118131209.095622|20191118131209.095712|30|90|3|7|1
394|20191118131209.095597|20191118131209.095623|20191118131209.095713|26|90|5|1|1
396|20191118131209.095604|20191118131209.095624|20191118131209.095714|20|90|7|1|1
398|20191118131209.095608|20191118131209.095624|20191118131209.095715|16|91|4|0|1
400|20191118131209.095612|20191118131209.095625|20191118131209.095716|13|91|4|1|1
402|20191118131209.095616|20191118131209.095644|20191118131209.095717|28|73|4|19|1
404|20191118131209.095619|20191118131209.095645|20191118131209.095718|26|73|3|1|1
406|20191118131209.095626|20191118131209.095646|20191118131209.095719|20|73|7|1|1
408|20191118131209.095640|20191118131209.095649|20191118131209.095720|9|71|14|3|1
410|20191118131209.095646|20191118131209.095653|20191118131209.095722|7|69|6|4|2
412|20191118131209.095651|20191118131209.095656|20191118131209.095723|5|67|5|3|1
414|20191118131209.095658|20191118131209.095674|20191118131209.095724|16|50|7|18|1
416|20191118131209.095664|20191118131209.095694|20191118131209.095725|30|31|6|20|1
418|20191118131209.095668|20191118131209.095694|20191118131209.095726|26|32|4|0|1
420|20191118131209.095690|20191118131209.095697|20191118131209.095727|7|30|22|3|1
422|20191118131209.095697|20191118131209.095711|20191118131209.095728|14|17|7|14|1
424|20191118131209.095703|20191118131209.095716|20191118131209.095728|13|12|6|5|0
426|20191118131209.095707|20191118131209.095717|20191118131209.095729|10|12|4|1|1
428|20191118131209.095714|20191118131209.095720|20191118131209.095730|6|10|7|3|1
430|20191118131209.095721|20191118131209.095733|20191118131209.095739|12|6|7|13|9
432|20191118131209.095726|20191118131209.095739|20191118131209.095745|13|6|5|6|6
434|20191118131209.095729|20191118131209.095741|20191118131209.095754|12|13|3|2|9
436|20191118131209.095737|20191118131209.095757|20191118131209.095764|20|7|8|16|10
438|20191118131209.095758|20191118131209.095771|20191118131209.095778|13|7|21|14|14
440|20191118131209.095763|20191118131209.095782|20191118131209.095787|19|5|5|11|9
442|20191118131209.095767|20191118131209.095784|20191118131209.095789|17|5|4|2|2
444|20191118131209.095773|20191118131209.095792|20191118131209.095798|19|6|6|8|9
446|20191118131209.095777|20191118131209.095794|20191118131209.095799|17|5|4|2|1
448|20191118131209.095785|20191118131209.095801|20191118131209.095815|16|14|8|7|16
450|20191118131209.095788|20191118131209.095803|20191118131209.095817|15|14|3|2|2
452|20191118131209.095795|20191118131209.095815|20191118131209.095818|20|3|7|12|1
454|20191118131209.095799|20191118131209.095819|20191118131209.095825|20|6|4|4|7
456|20191118131209.095817|20191118131209.095822|20191118131209.095826|5|4|18|3|1
458|20191118131209.095822|20191118131209.095833|20191118131209.095838|11|5|5|11|12
460|20191118131209.095827|20191118131209.095842|20191118131209.095848|15|6|5|9|10
462|20191118131209.095831|20191118131209.095844|20191118131209.095849|13|5|4|2|1
464|20191118131209.095836|20191118131209.095852|20191118131209.095863|16|11|5|8|14
466|20191118131209.095839|20191118131209.095854|20191118131209.095864|15|10|3|2|1
468|20191118131209.095845|20191118131209.095862|20191118131209.095866|17|4|6|8|2
470|20191118131209.095849|20191118131209.095863|20191118131209.095876|14|13|4|1|10
472|20191118131209.095855|20191118131209.095882|20191118131209.095887|27|5|6|19|11
474|20191118131209.095858|20191118131209.095884|20191118131209.095891|26|7|3|2|4
476|20191118131209.095878|20191118131209.095886|20191118131209.095893|8|7|20|2|2
478|20191118131209.095884|20191118131209.095891|20191118131209.095895|7|4|6|5|2
480|20191118131209.095888|20191118131209.095893|20191118131209.095896|5|3|4|2|1
