/home/fonwin/f9utwf/block/logs/20191118/omstw.log.TwfChg.d3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
333367|20191118131451.711914|20191118131451.712037|20191118131451.712110|123|73
333369|20191118131451.711931|20191118131451.712043|20191118131451.712112|112|69|17|6|2
333371|20191118131451.711937|20191118131451.712044|20191118131451.712114|107|70|6|1|2
333373|20191118131451.711941|20191118131451.712044|20191118131451.712115|103|71|4|0|1
333375|20191118131451.711958|20191118131451.712045|20191118131451.712117|87|72|17|1|2
333377|20191118131451.711962|20191118131451.712046|20191118131451.712128|84|82|4|1|11
333379|20191118131451.711966|20191118131451.712046|20191118131451.712130|80|84|4|0|2
333381|20191118131451.711970|20191118131451.712047|20191118131451.712131|77|84|4|1|1
333383|20191118131451.711974|20191118131451.712048|20191118131451.712132|74|84|4|1|1
333385|20191118131451.711979|20191118131451.712048|20191118131451.712133|69|85|5|0|1
333387|20191118131451.711983|20191118131451.712056|20191118131451.712134|73|78|4|8|1
333389|20191118131451.711985|20191118131451.712057|20191118131451.712135|72|78|2|1|1
333391|20191118131451.711986|20191118131451.712058|20191118131451.712137|72|79|1|1|2
333393|20191118131451.711987|20191118131451.712058|20191118131451.712138|71|80|1|0|1
333395|20191118131451.711988|20191118131451.712059|20191118131451.712139|71|80|1|1|1
333397|20191118131451.711989|20191118131451.712059|20191118131451.712140|70|81|1|0|1
333399|20191118131451.711990|20191118131451.712060|20191118131451.712141|70|81|1|1|1
333401|20191118131451.711992|20191118131451.712061|20191118131451.712142|69|81|2|1|1
333403|20191118131451.711993|20191118131451.712061|20191118131451.712145|68|84|1|0|3
333405|20191118131451.711994|20191118131451.712062|20191118131451.712147|68|85|1|1|2
333407|20191118131451.711995|20191118131451.712062|20191118131451.712148|67|86|1|0|1
333409|20191118131451.711996|20191118131451.712063|20191118131451.712149|67|86|1|1|1
333411|20191118131451.711997|20191118131451.712064|20191118131451.712151|67|87|1|1|2
333413|20191118131451.711998|20191118131451.712064|20191118131451.712152|66|88|1|0|1
333415|20191118131451.711999|20191118131451.712065|20191118131451.712153|66|88|1|1|1
333417|20191118131451.712000|20191118131451.712066|20191118131451.712154|66|88|1|1|1
333419|20191118131451.712001|20191118131451.712066|20191118131451.712156|65|90|1|0|2
333421|20191118131451.712002|20191118131451.712067|20191118131451.712157|65|90|1|1|1
333423|20191118131451.712003|20191118131451.712068|20191118131451.712158|65|90|1|1|1
333425|20191118131451.712004|20191118131451.712068|20191118131451.712159|64|91|1|0|1
333427|20191118131451.712032|20191118131451.712069|20191118131451.712160|37|91|28|1|1
333429|20191118131451.712041|20191118131451.712069|20191118131451.712162|28|93|9|0|2
333431|20191118131451.712045|20191118131451.712070|20191118131451.712163|25|93|4|1|1
333433|20191118131451.712048|20191118131451.712083|20191118131451.712164|35|81|3|13|1
333435|20191118131451.712053|20191118131451.712095|20191118131451.712165|42|70|5|12|1
333437|20191118131451.712061|20191118131451.712096|20191118131451.712166|35|70|8|1|1
333439|20191118131451.712065|20191118131451.712096|20191118131451.712168|31|72|4|0|2
333441|20191118131451.712068|20191118131451.712097|20191118131451.712169|29|72|3|1|1
333443|20191118131451.712072|20191118131451.712098|20191118131451.712170|26|72|4|1|1
333445|20191118131451.712075|20191118131451.712098|20191118131451.712171|23|73|3|0|1
333447|20191118131451.712084|20191118131451.712105|20191118131451.712172|21|67|9|7|1
333449|20191118131451.712089|20191118131451.712106|20191118131451.712173|17|67|5|1|1
333451|20191118131451.712098|20191118131451.712106|20191118131451.712174|8|68|9|0|1
333453|20191118131451.712103|20191118131451.712109|20191118131451.712175|6|66|5|3|1
333455|20191118131451.712109|20191118131451.712130|20191118131451.712176|21|46|6|21|1
333457|20191118131451.712115|20191118131451.712133|20191118131451.712177|18|44|6|3|1
333459|20191118131451.712134|20191118131451.712146|20191118131451.712178|12|32|19|13|1
333461|20191118131451.712140|20191118131451.712152|20191118131451.712180|12|28|6|6|2
333463|20191118131451.712143|20191118131451.712153|20191118131451.712190|10|37|3|1|10
333465|20191118131451.712150|20191118131451.712156|20191118131451.712192|6|36|7|3|2
333467|20191118131451.712157|20191118131451.712171|20191118131451.712193|14|22|7|15|1
333469|20191118131451.712163|20191118131451.712177|20191118131451.712194|14|17|6|6|1
333471|20191118131451.712167|20191118131451.712178|20191118131451.712195|11|17|4|1|1
333473|20191118131451.712174|20191118131451.712190|20191118131451.712196|16|6|7|12|1
333475|20191118131451.712194|20191118131451.712206|20191118131451.712214|12|8|20|16|18
333477|20191118131451.712199|20191118131451.712209|20191118131451.712215|10|6|5|3|1
