/home/fonwin/f9utwf/busy/logs/20191118/omstw.log.TwfNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
334|20191118094018.785040|20191118094018.785105|20191118094018.785118|65|13
336|20191118094018.785057|20191118094018.785108|20191118094018.785120|51|12|17|3|2
338|20191118094018.785062|20191118094018.785109|20191118094018.785121|47|12|5|1|1
340|20191118094018.785066|20191118094018.785110|20191118094018.785123|44|13|4|1|2
342|20191118094018.785078|20191118094018.785111|20191118094018.785124|33|13|12|1|1
344|20191118094018.785082|20191118094018.785112|20191118094018.785125|30|13|4|1|1
346|20191118094018.785085|20191118094018.785112|20191118094018.785126|27|14|3|0|1
348|20191118094018.785089|20191118094018.785113|20191118094018.785127|24|14|4|1|1
350|20191118094018.785094|20191118094018.785122|20191118094018.785128|28|6|5|9|1
352|20191118094018.785098|20191118094018.785123|20191118094018.785129|25|6|4|1|1
354|20191118094018.785106|20191118094018.785124|20191118094018.785130|18|6|8|1|1
356|20191118094018.785110|20191118094018.785125|20191118094018.785142|15|17|4|1|12
358|20191118094018.785114|20191118094018.785125|20191118094018.785143|11|18|4|0|1
360|20191118094018.785118|20191118094018.785131|20191118094018.785145|13|14|4|6|2
362|20191118094018.785125|20191118094018.785142|20191118094018.785146|17|4|7|11|1
364|20191118094018.785129|20191118094018.785151|20191118094018.785153|22|2|4|9|7
366|20191118094018.785150|20191118094018.785165|20191118094018.785167|15|2|21|14|14
368|20191118094018.785156|20191118094018.785171|20191118094018.785173|15|2|6|6|6
370|20191118094018.785160|20191118094018.785172|20191118094018.785176|12|4|4|1|3
372|20191118094018.785168|20191118094018.785174|20191118094018.785178|6|4|8|2|2
374|20191118094018.785175|20191118094018.785187|20191118094018.785190|12|3|7|13|12
376|20191118094018.785180|20191118094018.785189|20191118094018.785191|9|2|5|2|1
378|20191118094018.785185|20191118094018.785191|20191118094018.785193|6|2|5|2|2
380|20191118094018.785191|20191118094018.785204|20191118094018.785206|13|2|6|13|13
382|20191118094018.785196|20191118094018.785209|20191118094018.785211|13|2|5|5|5
384|20191118094018.785200|20191118094018.785210|20191118094018.785222|10|12|4|1|11
386|20191118094018.785207|20191118094018.785227|20191118094018.785229|20|2|7|17|7
388|20191118094018.785227|20191118094018.785239|20191118094018.785243|12|4|20|12|14
390|20191118094018.785233|20191118094018.785247|20191118094018.785250|14|3|6|8|7
392|20191118094018.785237|20191118094018.785248|20191118094018.785251|11|3|4|1|1
394|20191118094018.785245|20191118094018.785255|20191118094018.785258|10|3|8|7|7
396|20191118094018.785253|20191118094018.785260|20191118094018.785262|7|2|8|5|4
398|20191118094018.785257|20191118094018.785263|20191118094018.785265|6|2|4|3|3
400|20191118094018.785264|20191118094018.785275|20191118094018.785278|11|3|7|12|13
402|20191118094018.785269|20191118094018.785283|20191118094018.785285|14|2|5|8|7
404|20191118094018.785273|20191118094018.785284|20191118094018.785286|11|2|4|1|1
406|20191118094018.785280|20191118094018.785286|20191118094018.785289|6|3|7|2|3
408|20191118094018.785286|20191118094018.785301|20191118094018.785316|15|15|6|15|27
410|20191118094018.785292|20191118094018.785320|20191118094018.785322|28|2|6|19|6
412|20191118094018.785296|20191118094018.785321|20191118094018.785323|25|2|4|1|1
414|20191118094018.785303|20191118094018.785322|20191118094018.785333|19|11|7|1|10
416|20191118094018.785316|20191118094018.785334|20191118094018.785339|18|5|13|12|6
418|20191118094018.785336|20191118094018.785349|20191118094018.785353|13|4|20|15|14
420|20191118094018.785342|20191118094018.785355|20191118094018.785357|13|2|6|6|4
422|20191118094018.785345|20191118094018.785356|20191118094018.785358|11|2|3|1|1
424|20191118094018.785352|20191118094018.785358|20191118094018.785360|6|2|7|2|2
426|20191118094018.785358|20191118094018.785371|20191118094018.785373|13|2|6|13|13
428|20191118094018.785363|20191118094018.785372|20191118094018.785374|9|2|5|1|1
430|20191118094018.785368|20191118094018.785374|20191118094018.785376|6|2|5|2|2
432|20191118094018.785374|20191118094018.785387|20191118094018.785390|13|3|6|13|14
434|20191118094018.785379|20191118094018.785393|20191118094018.785395|14|2|5|6|5
436|20191118094018.785383|20191118094018.785394|20191118094018.785396|11|2|4|1|1
438|20191118094018.785390|20191118094018.785396|20191118094018.785398|6|2|7|2|2
440|20191118094018.785397|20191118094018.785409|20191118094018.785411|12|2|7|13|13
442|20191118094018.785402|20191118094018.785416|20191118094018.785418|14|2|5|7|7
444|20191118094018.785406|20191118094018.785416|20191118094018.785419|10|3|4|0|1
446|20191118094018.785413|20191118094018.785419|20191118094018.785421|6|2|7|3|2
448|20191118094018.785431|20191118094018.785445|20191118094018.785448|14|3|18|26|27
450|20191118094018.785437|20191118094018.785451|20191118094018.785453|14|2|6|6|5
452|20191118094018.785442|20191118094018.785452|20191118094018.785454|10|2|5|1|1
454|20191118094018.785449|20191118094018.785455|20191118094018.785456|6|1|7|3|2
456|20191118094018.785455|20191118094018.785466|20191118094018.785468|11|2|6|11|12
458|20191118094018.785460|20191118094018.785472|20191118094018.785474|12|2|5|6|6
460|20191118094018.785463|20191118094018.785473|20191118094018.785475|10|2|3|1|1
462|20191118094018.785470|20191118094018.785475|20191118094018.785477|5|2|7|2|2
464|20191118094018.785477|20191118094018.785489|20191118094018.785491|12|2|7|14|14
466|20191118094018.785482|20191118094018.785494|20191118094018.785496|12|2|5|5|5
468|20191118094018.785485|20191118094018.785495|20191118094018.785497|10|2|3|1|1
470|20191118094018.785492|20191118094018.785498|20191118094018.785500|6|2|7|3|3
472|20191118094018.785498|20191118094018.785511|20191118094018.785514|13|3|6|13|14
474|20191118094018.785503|20191118094018.785517|20191118094018.785519|14|2|5|6|5
476|20191118094018.785507|20191118094018.785518|20191118094018.785520|11|2|4|1|1
478|20191118094018.785514|20191118094018.785520|20191118094018.785522|6|2|7|2|2
480|20191118094018.785521|20191118094018.785531|20191118094018.785534|10|3|7|11|12
482|20191118094018.785526|20191118094018.785538|20191118094018.785542|12|4|5|7|8
484|20191118094018.785529|20191118094018.785539|20191118094018.785545|10|6|3|1|3
486|20191118094018.785535|20191118094018.785542|20191118094018.785546|7|4|6|3|1
488|20191118094018.785542|20191118094018.785553|20191118094018.785556|11|3|7|11|10
490|20191118094018.785547|20191118094018.785555|20191118094018.785557|8|2|5|2|1
492|20191118094018.785554|20191118094018.785567|20191118094018.785569|13|2|7|12|12
494|20191118094018.785560|20191118094018.785573|20191118094018.785575|13|2|6|6|6
496|20191118094018.785564|20191118094018.785574|20191118094018.785577|10|3|4|1|2
498|20191118094018.785572|20191118094018.785576|20191118094018.785579|4|3|8|2|2
500|20191118094018.785578|20191118094018.785590|20191118094018.785593|12|3|6|14|14
502|20191118094018.785583|20191118094018.785596|20191118094018.785598|13|2|5|6|5
504|20191118094018.785587|20191118094018.785597|20191118094018.785599|10|2|4|1|1
506|20191118094018.785594|20191118094018.785599|20191118094018.785601|5|2|7|2|2
508|20191118094018.785600|20191118094018.785610|20191118094018.785613|10|3|6|11|12
510|20191118094018.785605|20191118094018.785616|20191118094018.785618|11|2|5|6|5
512|20191118094018.785608|20191118094018.785617|20191118094018.785619|9|2|3|1|1
514|20191118094018.785615|20191118094018.785619|20191118094018.785621|4|2|7|2|2
516|20191118094018.785620|20191118094018.785633|20191118094018.785635|13|2|5|14|14
518|20191118094018.785625|20191118094018.785638|20191118094018.785640|13|2|5|5|5
520|20191118094018.785629|20191118094018.785639|20191118094018.785642|10|3|4|1|2
522|20191118094018.785636|20191118094018.785641|20191118094018.785644|5|3|7|2|2
524|20191118094018.785643|20191118094018.785653|20191118094018.785656|10|3|7|12|12
526|20191118094018.785648|20191118094018.785659|20191118094018.785662|11|3|5|6|6
528|20191118094018.785651|20191118094018.785660|20191118094018.785664|9|4|3|1|2
530|20191118094018.785657|20191118094018.785663|20191118094018.785665|6|2|6|3|1
532|20191118094018.785664|20191118094018.785677|20191118094018.785680|13|3|7|14|15
534|20191118094018.785669|20191118094018.785683|20191118094018.785685|14|2|5|6|5
536|20191118094018.785673|20191118094018.785684|20191118094018.785686|11|2|4|1|1
538|20191118094018.785680|20191118094018.785686|20191118094018.785688|6|2|7|2|2
540|20191118094018.785687|20191118094018.785699|20191118094018.785701|12|2|7|13|13
542|20191118094018.785692|20191118094018.785704|20191118094018.785706|12|2|5|5|5
544|20191118094018.785695|20191118094018.785705|20191118094018.785707|10|2|3|1|1
546|20191118094018.785702|20191118094018.785707|20191118094018.785709|5|2|7|2|2
548|20191118094018.785707|20191118094018.785720|20191118094018.785723|13|3|5|13|14
550|20191118094018.785712|20191118094018.785726|20191118094018.785728|14|2|5|6|5
552|20191118094018.785716|20191118094018.785727|20191118094018.785729|11|2|4|1|1
554|20191118094018.785724|20191118094018.785729|20191118094018.785731|5|2|8|2|2
556|20191118094018.785729|20191118094018.785740|20191118094018.785743|11|3|5|11|12
558|20191118094018.785734|20191118094018.785748|20191118094018.785750|14|2|5|8|7
560|20191118094018.785738|20191118094018.785749|20191118094018.785751|11|2|4|1|1
562|20191118094018.785744|20191118094018.785751|20191118094018.785753|7|2|6|2|2
564|20191118094018.785750|20191118094018.785758|20191118094018.785764|8|6|6|7|11
566|20191118094018.785755|20191118094018.785761|20191118094018.785766|6|5|5|3|2
568|20191118094018.785762|20191118094018.785773|20191118094018.785775|11|2|7|12|9
570|20191118094018.785767|20191118094018.785781|20191118094018.785783|14|2|5|8|8
572|20191118094018.785770|20191118094018.785782|20191118094018.785784|12|2|3|1|1
574|20191118094018.785777|20191118094018.785784|20191118094018.785786|7|2|7|2|2
576|20191118094018.785783|20191118094018.785793|20191118094018.785796|10|3|6|9|10
578|20191118094018.785789|20191118094018.785796|20191118094018.785798|7|2|6|3|2
580|20191118094018.785795|20191118094018.785806|20191118094018.785808|11|2|6|10|10
582|20191118094018.785800|20191118094018.785813|20191118094018.785816|13|3|5|7|8
584|20191118094018.785804|20191118094018.785814|20191118094018.785817|10|3|4|1|1
586|20191118094018.785810|20191118094018.785817|20191118094018.785818|7|1|6|3|1
588|20191118094018.785816|20191118094018.785828|20191118094018.785831|12|3|6|11|13
590|20191118094018.785821|20191118094018.785833|20191118094018.785835|12|2|5|5|4
592|20191118094018.785825|20191118094018.785834|20191118094018.785837|9|3|4|1|2
594|20191118094018.785831|20191118094018.785836|20191118094018.785838|5|2|6|2|1
596|20191118094018.785837|20191118094018.785848|20191118094018.785850|11|2|6|12|12
598|20191118094018.785842|20191118094018.785854|20191118094018.785856|12|2|5|6|6
600|20191118094018.785845|20191118094018.785854|20191118094018.785857|9|3|3|0|1
602|20191118094018.785852|20191118094018.785857|20191118094018.785859|5|2|7|3|2
604|20191118094018.785858|20191118094018.785870|20191118094018.785873|12|3|6|13|14
606|20191118094018.785863|20191118094018.785876|20191118094018.785878|13|2|5|6|5
608|20191118094018.785867|20191118094018.785876|20191118094018.785880|9|4|4|0|2
610|20191118094018.785873|20191118094018.785879|20191118094018.785881|6|2|6|3|1
612|20191118094018.785879|20191118094018.785890|20191118094018.785892|11|2|6|11|11
614|20191118094018.785884|20191118094018.785898|20191118094018.785900|14|2|5|8|8
616|20191118094018.785888|20191118094018.785899|20191118094018.785901|11|2|4|1|1
618|20191118094018.785895|20191118094018.785901|20191118094018.785903|6|2|7|2|2
620|20191118094018.785901|20191118094018.785914|20191118094018.785917|13|3|6|13|14
622|20191118094018.785906|20191118094018.785920|20191118094018.785922|14|2|5|6|5
624|20191118094018.785911|20191118094018.785921|20191118094018.785923|10|2|5|1|1
626|20191118094018.785917|20191118094018.785923|20191118094018.785925|6|2|6|2|2
628|20191118094018.785924|20191118094018.785935|20191118094018.785937|11|2|7|12|12
630|20191118094018.785929|20191118094018.785941|20191118094018.785943|12|2|5|6|6
632|20191118094018.785933|20191118094018.785942|20191118094018.785944|9|2|4|1|1
634|20191118094018.785939|20191118094018.785944|20191118094018.785946|5|2|6|2|2
636|20191118094018.785945|20191118094018.785955|20191118094018.785958|10|3|6|11|12
638|20191118094018.785950|20191118094018.785961|20191118094018.785964|11|3|5|6|6
640|20191118094018.785953|20191118094018.785962|20191118094018.785965|9|3|3|1|1
642|20191118094018.785959|20191118094018.785965|20191118094018.785967|6|2|6|3|2
644|20191118094018.785966|20191118094018.785976|20191118094018.785979|10|3|7|11|12
646|20191118094018.785971|20191118094018.785983|20191118094018.785986|12|3|5|7|7
648|20191118094018.785974|20191118094018.785984|20191118094018.785987|10|3|3|1|1
650|20191118094018.785982|20191118094018.785987|20191118094018.785989|5|2|8|3|2
652|20191118094018.785987|20191118094018.786000|20191118094018.786002|13|2|5|13|13
654|20191118094018.785992|20191118094018.786005|20191118094018.786007|13|2|5|5|5
656|20191118094018.785996|20191118094018.786006|20191118094018.786008|10|2|4|1|1
658|20191118094018.786003|20191118094018.786008|20191118094018.786010|5|2|7|2|2
660|20191118094018.786009|20191118094018.786020|20191118094018.786022|11|2|6|12|12
662|20191118094018.786014|20191118094018.786025|20191118094018.786027|11|2|5|5|5
664|20191118094018.786017|20191118094018.786026|20191118094018.786028|9|2|3|1|1
666|20191118094018.786024|20191118094018.786028|20191118094018.786030|4|2|7|2|2
668|20191118094018.786030|20191118094018.786043|20191118094018.786045|13|2|6|15|15
670|20191118094018.786034|20191118094018.786048|20191118094018.786050|14|2|4|5|5
672|20191118094018.786038|20191118094018.786049|20191118094018.786051|11|2|4|1|1
674|20191118094018.786045|20191118094018.786051|20191118094018.786053|6|2|7|2|2
676|20191118094018.786052|20191118094018.786076|20191118094018.786079|24|3|7|25|26
678|20191118094018.786057|20191118094018.786083|20191118094018.786085|26|2|5|7|6
680|20191118094018.786060|20191118094018.786084|20191118094018.786086|24|2|3|1|1
682|20191118094018.786075|20191118094018.786084|20191118094018.786087|9|3|15|0|1
684|20191118094018.786080|20191118094018.786087|20191118094018.786089|7|2|5|3|2
686|20191118094018.786086|20191118094018.786097|20191118094018.786099|11|2|6|10|10
688|20191118094018.786091|20191118094018.786103|20191118094018.786105|12|2|5|6|6
690|20191118094018.786094|20191118094018.786104|20191118094018.786106|10|2|3|1|1
692|20191118094018.786101|20191118094018.786106|20191118094018.786108|5|2|7|2|2
694|20191118094018.786108|20191118094018.786119|20191118094018.786121|11|2|7|13|13
696|20191118094018.786113|20191118094018.786125|20191118094018.786127|12|2|5|6|6
698|20191118094018.786116|20191118094018.786126|20191118094018.786128|10|2|3|1|1
700|20191118094018.786123|20191118094018.786128|20191118094018.786130|5|2|7|2|2
702|20191118094018.786129|20191118094018.786140|20191118094018.786150|11|10|6|12|20
704|20191118094018.786134|20191118094018.786153|20191118094018.786155|19|2|5|13|5
706|20191118094018.786137|20191118094018.786154|20191118094018.786156|17|2|3|1|1
708|20191118094018.786160|20191118094018.786169|20191118094018.786171|9|2|23|15|15
710|20191118094018.786166|20191118094018.786177|20191118094018.786179|11|2|6|8|8
712|20191118094018.786170|20191118094018.786182|20191118094018.786184|12|2|4|5|5
714|20191118094018.786174|20191118094018.786183|20191118094018.786185|9|2|4|1|1
716|20191118094018.786180|20191118094018.786185|20191118094018.786187|5|2|6|2|2
718|20191118094018.786187|20191118094018.786198|20191118094018.786200|11|2|7|13|13
720|20191118094018.786192|20191118094018.786203|20191118094018.786206|11|3|5|5|6
722|20191118094018.786195|20191118094018.786204|20191118094018.786207|9|3|3|1|1
724|20191118094018.786202|20191118094018.786207|20191118094018.786209|5|2|7|3|2
726|20191118094018.786207|20191118094018.786219|20191118094018.786221|12|2|5|12|12
728|20191118094018.786213|20191118094018.786224|20191118094018.786227|11|3|6|5|6
730|20191118094018.786216|20191118094018.786225|20191118094018.786228|9|3|3|1|1
732|20191118094018.786223|20191118094018.786228|20191118094018.786230|5|2|7|3|2
734|20191118094018.786229|20191118094018.786242|20191118094018.786244|13|2|6|14|14
736|20191118094018.786234|20191118094018.786247|20191118094018.786249|13|2|5|5|5
738|20191118094018.786238|20191118094018.786248|20191118094018.786250|10|2|4|1|1
740|20191118094018.786244|20191118094018.786250|20191118094018.786252|6|2|6|2|2
742|20191118094018.786251|20191118094018.786262|20191118094018.786265|11|3|7|12|13
744|20191118094018.786256|20191118094018.786268|20191118094018.786270|12|2|5|6|5
746|20191118094018.786260|20191118094018.786269|20191118094018.786271|9|2|4|1|1
748|20191118094018.786266|20191118094018.786271|20191118094018.786273|5|2|6|2|2
750|20191118094018.786272|20191118094018.786282|20191118094018.786285|10|3|6|11|12
752|20191118094018.786277|20191118094018.786288|20191118094018.786290|11|2|5|6|5
754|20191118094018.786280|20191118094018.786289|20191118094018.786291|9|2|3|1|1
756|20191118094018.786286|20191118094018.786291|20191118094018.786294|5|3|6|2|3
758|20191118094018.786292|20191118094018.786303|20191118094018.786306|11|3|6|12|12
760|20191118094018.786297|20191118094018.786309|20191118094018.786312|12|3|5|6|6
762|20191118094018.786301|20191118094018.786310|20191118094018.786313|9|3|4|1|1
764|20191118094018.786307|20191118094018.786313|20191118094018.786315|6|2|6|3|2
766|20191118094018.786314|20191118094018.786325|20191118094018.786327|11|2|7|12|12
