/home/fonwin/f9utwf/busy/logs/20191118/omstw.log.TwfChg.d3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
333367|20191118094343.636150|20191118094343.636210|20191118094343.636222|60|12
333369|20191118094343.636166|20191118094343.636214|20191118094343.636225|48|11|16|4|3
333371|20191118094343.636171|20191118094343.636214|20191118094343.636227|43|13|5|0|2
333373|20191118094343.636196|20191118094343.636215|20191118094343.636228|19|13|25|1|1
333375|20191118094343.636200|20191118094343.636222|20191118094343.636230|22|8|4|7|2
333377|20191118094343.636204|20191118094343.636223|20191118094343.636231|19|8|4|1|1
333379|20191118094343.636212|20191118094343.636223|20191118094343.636232|11|9|8|0|1
333381|20191118094343.636216|20191118094343.636231|20191118094343.636234|15|3|4|8|2
333383|20191118094343.636220|20191118094343.636232|20191118094343.636235|12|3|4|1|1
333385|20191118094343.636227|20191118094343.636235|20191118094343.636237|8|2|7|3|2
333387|20191118094343.636234|20191118094343.636245|20191118094343.636248|11|3|7|10|11
333389|20191118094343.636240|20191118094343.636247|20191118094343.636249|7|2|6|2|1
333391|20191118094343.636247|20191118094343.636258|20191118094343.636260|11|2|7|11|11
333393|20191118094343.636252|20191118094343.636264|20191118094343.636266|12|2|5|6|6
333395|20191118094343.636256|20191118094343.636265|20191118094343.636268|9|3|4|1|2
333397|20191118094343.636262|20191118094343.636267|20191118094343.636270|5|3|6|2|2
333399|20191118094343.636269|20191118094343.636279|20191118094343.636282|10|3|7|12|12
333401|20191118094343.636273|20191118094343.636285|20191118094343.636287|12|2|4|6|5
333403|20191118094343.636277|20191118094343.636286|20191118094343.636291|9|5|4|1|4
333405|20191118094343.636283|20191118094343.636288|20191118094343.636293|5|5|6|2|2
333407|20191118094343.636290|20191118094343.636301|20191118094343.636304|11|3|7|13|11
333409|20191118094343.636295|20191118094343.636307|20191118094343.636309|12|2|5|6|5
333411|20191118094343.636299|20191118094343.636308|20191118094343.636311|9|3|4|1|2
333413|20191118094343.636305|20191118094343.636310|20191118094343.636312|5|2|6|2|1
333415|20191118094343.636311|20191118094343.636337|20191118094343.636345|26|8|6|27|33
333417|20191118094343.636329|20191118094343.636343|20191118094343.636347|14|4|18|6|2
333419|20191118094343.636333|20191118094343.636344|20191118094343.636348|11|4|4|1|1
333421|20191118094343.636341|20191118094343.636351|20191118094343.636353|10|2|8|7|5
333423|20191118094343.636350|20191118094343.636364|20191118094343.636367|14|3|9|13|14
333425|20191118094343.636356|20191118094343.636369|20191118094343.636372|13|3|6|5|5
333427|20191118094343.636360|20191118094343.636370|20191118094343.636373|10|3|4|1|1
333429|20191118094343.636367|20191118094343.636373|20191118094343.636375|6|2|7|3|2
333431|20191118094343.636374|20191118094343.636386|20191118094343.636388|12|2|7|13|13
333433|20191118094343.636379|20191118094343.636393|20191118094343.636395|14|2|5|7|7
333435|20191118094343.636383|20191118094343.636394|20191118094343.636396|11|2|4|1|1
333437|20191118094343.636390|20191118094343.636401|20191118094343.636403|11|2|7|7|7
333439|20191118094343.636399|20191118094343.636406|20191118094343.636408|7|2|9|5|5
333441|20191118094343.636404|20191118094343.636412|20191118094343.636414|8|2|5|6|6
333443|20191118094343.636413|20191118094343.636426|20191118094343.636428|13|2|9|14|14
333445|20191118094343.636418|20191118094343.636446|20191118094343.636449|28|3|5|20|21
333447|20191118094343.636422|20191118094343.636446|20191118094343.636450|24|4|4|0|1
333449|20191118094343.636442|20191118094343.636453|20191118094343.636455|11|2|20|7|5
333451|20191118094343.636451|20191118094343.636458|20191118094343.636460|7|2|9|5|5
333453|20191118094343.636455|20191118094343.636460|20191118094343.636462|5|2|4|2|2
333455|20191118094343.636462|20191118094343.636474|20191118094343.636477|12|3|7|14|15
333457|20191118094343.636467|20191118094343.636481|20191118094343.636483|14|2|5|7|6
333459|20191118094343.636471|20191118094343.636482|20191118094343.636503|11|21|4|1|20
333461|20191118094343.636478|20191118094343.636508|20191118094343.636510|30|2|7|26|7
333463|20191118094343.636506|20191118094343.636513|20191118094343.636515|7|2|28|5|5
333465|20191118094343.636511|20191118094343.636516|20191118094343.636517|5|1|5|3|2
333467|20191118094343.636517|20191118094343.636527|20191118094343.636530|10|3|6|11|13
333469|20191118094343.636522|20191118094343.636535|20191118094343.636536|13|1|5|8|6
333471|20191118094343.636525|20191118094343.636535|20191118094343.636537|10|2|3|0|1
333473|20191118094343.636532|20191118094343.636542|20191118094343.636543|10|1|7|7|6
333475|20191118094343.636540|20191118094343.636546|20191118094343.636548|6|2|8|4|5
333477|20191118094343.636544|20191118094343.636549|20191118094343.636552|5|3|4|3|4
333479|20191118094343.636550|20191118094343.636576|20191118094343.636579|26|3|6|27|27
333481|20191118094343.636569|20191118094343.636583|20191118094343.636585|14|2|19|7|6
333483|20191118094343.636573|20191118094343.636584|20191118094343.636586|11|2|4|1|1
333485|20191118094343.636580|20191118094343.636587|20191118094343.636589|7|2|7|3|3
333487|20191118094343.636587|20191118094343.636600|20191118094343.636602|13|2|7|13|13
333489|20191118094343.636592|20191118094343.636609|20191118094343.636611|17|2|5|9|9
333491|20191118094343.636596|20191118094343.636610|20191118094343.636612|14|2|4|1|1
333493|20191118094343.636604|20191118094343.636629|20191118094343.636640|25|11|8|19|28
333495|20191118094343.636610|20191118094343.636630|20191118094343.636641|20|11|6|1|1
333497|20191118094343.636615|20191118094343.636640|20191118094343.636643|25|3|5|10|2
333499|20191118094343.636624|20191118094343.636655|20191118094343.636657|31|2|9|15|14
333501|20191118094343.636645|20191118094343.636656|20191118094343.636658|11|2|21|1|1
333503|20191118094343.636654|20191118094343.636667|20191118094343.636670|13|3|9|11|12
333505|20191118094343.636661|20191118094343.636681|20191118094343.636683|20|2|7|14|13
333507|20191118094343.636680|20191118094343.636701|20191118094343.636703|21|2|19|20|20
333509|20191118094343.636698|20191118094343.636721|20191118094343.636723|23|2|18|20|20
333511|20191118094343.636713|20191118094343.636722|20191118094343.636724|9|2|15|1|1
333513|20191118094343.636721|20191118094343.636738|20191118094343.636740|17|2|8|16|16
333515|20191118094343.636733|20191118094343.636753|20191118094343.636755|20|2|12|15|15
333517|20191118094343.636746|20191118094343.636762|20191118094343.636764|16|2|13|9|9
333519|20191118094343.636751|20191118094343.636773|20191118094343.636777|22|4|5|11|13
333521|20191118094343.636762|20191118094343.636775|20191118094343.636778|13|3|11|2|1
333523|20191118094343.636774|20191118094343.636790|20191118094343.636793|16|3|12|15|15
333525|20191118094343.636785|20191118094343.636805|20191118094343.636808|20|3|11|15|15
333527|20191118094343.636799|20191118094343.636814|20191118094343.636816|15|2|14|9|8
333529|20191118094343.636804|20191118094343.636815|20191118094343.636817|11|2|5|1|1
333531|20191118094343.636815|20191118094343.636830|20191118094343.636832|15|2|11|15|15
333533|20191118094343.636825|20191118094343.636847|20191118094343.636849|22|2|10|17|17
333535|20191118094343.636841|20191118094343.636862|20191118094343.636864|21|2|16|15|15
333537|20191118094343.636851|20191118094343.636872|20191118094343.636875|21|3|10|10|11
333539|20191118094343.636860|20191118094343.636874|20191118094343.636877|14|3|9|2|2
333541|20191118094343.636866|20191118094343.636881|20191118094343.636883|15|2|6|7|6
333543|20191118094343.636873|20191118094343.636882|20191118094343.636884|9|2|7|1|1
333545|20191118094343.636882|20191118094343.636902|20191118094343.636904|20|2|9|20|20
333547|20191118094343.636897|20191118094343.636916|20191118094343.636919|19|3|15|14|15
333549|20191118094343.636912|20191118094343.636924|20191118094343.636927|12|3|15|8|8
333551|20191118094343.636922|20191118094343.636935|20191118094343.636938|13|3|10|11|11
333553|20191118094343.636927|20191118094343.636950|20191118094343.636953|23|3|5|15|15
333555|20191118094343.636937|20191118094343.636951|20191118094343.636954|14|3|10|1|1
333557|20191118094343.636947|20191118094343.636970|20191118094343.636973|23|3|10|19|19
333559|20191118094343.636960|20191118094343.636971|20191118094343.636974|11|3|13|1|1
333561|20191118094343.636970|20191118094343.636986|20191118094343.636988|16|2|10|15|14
333563|20191118094343.636981|20191118094343.636995|20191118094343.636997|14|2|11|9|9
333565|20191118094343.636992|20191118094343.637004|20191118094343.637006|12|2|11|9|9
Spend(us)|842|794|784
Avg(us)|8.42|7.94|7.84
T1(last)-T0(first)=854/100|Avg=8.54
T2(last)-T0(first)=856/100|Avg=8.56
T2(last)-T1(first)=796/100|Avg=7.96
T1-T0|50%=13|75%=20|90%=25|99%=60|99.9%=60|99.99%=60|Worst=43|48|60|
T2-T1|50%=2|75%=3|90%=8|99%=21|99.9%=21|99.99%=21|Worst=13|13|21|
T0-|50%=7|75%=10|90%=16|99%=28|99.9%=28|99.99%=28|Worst=21|25|28|
T1-|50%=7|75%=13|90%=17|99%=27|99.9%=27|99.99%=27|Worst=26|27|27|
T2-|50%=6|75%=13|90%=17|99%=33|99.9%=33|99.99%=33|Worst=27|28|33|
