/home/fonwin/f9utwf/busy/logs/20191118/omstw.log.TwfChg.d5.txt
Count=10000|Abandoned=0|Rejected=0|Sending=10000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
336667|20191118094407.814770|20191118094407.814894|20191118094407.814907|124|13
336669|20191118094407.814801|20191118094407.814898|20191118094407.814909|97|11|31|4|2
336671|20191118094407.814819|20191118094407.814899|20191118094407.814911|80|12|18|1|2
336673|20191118094407.814823|20191118094407.814899|20191118094407.814912|76|13|4|0|1
336675|20191118094407.814827|20191118094407.814900|20191118094407.814913|73|13|4|1|1
336677|20191118094407.814831|20191118094407.814900|20191118094407.814915|69|15|4|0|2
336679|20191118094407.814835|20191118094407.814900|20191118094407.814916|65|16|4|0|1
336681|20191118094407.814839|20191118094407.814901|20191118094407.814917|62|16|4|1|1
336683|20191118094407.814842|20191118094407.814901|20191118094407.814919|59|18|3|0|2
336685|20191118094407.814846|20191118094407.814902|20191118094407.814920|56|18|4|1|1
336687|20191118094407.814860|20191118094407.814906|20191118094407.814921|46|15|14|4|1
336689|20191118094407.814862|20191118094407.814907|20191118094407.814922|45|15|2|1|1
336691|20191118094407.814863|20191118094407.814908|20191118094407.814924|45|16|1|1|2
336693|20191118094407.814864|20191118094407.814908|20191118094407.814925|44|17|1|0|1
336695|20191118094407.814865|20191118094407.814909|20191118094407.814926|44|17|1|1|1
336697|20191118094407.814866|20191118094407.814910|20191118094407.814928|44|18|1|1|2
336699|20191118094407.814867|20191118094407.814910|20191118094407.814929|43|19|1|0|1
336701|20191118094407.814867|20191118094407.814910|20191118094407.814930|43|20|0|0|1
336703|20191118094407.814868|20191118094407.814911|20191118094407.814933|43|22|1|1|3
336705|20191118094407.814869|20191118094407.814911|20191118094407.814935|42|24|1|0|2
336707|20191118094407.814870|20191118094407.814912|20191118094407.814936|42|24|1|1|1
336709|20191118094407.814871|20191118094407.814912|20191118094407.814938|41|26|1|0|2
336711|20191118094407.814872|20191118094407.814912|20191118094407.814939|40|27|1|0|1
336713|20191118094407.814873|20191118094407.814913|20191118094407.814940|40|27|1|1|1
336715|20191118094407.814874|20191118094407.814913|20191118094407.814941|39|28|1|0|1
336717|20191118094407.814875|20191118094407.814914|20191118094407.814942|39|28|1|1|1
336719|20191118094407.814876|20191118094407.814914|20191118094407.814944|38|30|1|0|2
336721|20191118094407.814877|20191118094407.814914|20191118094407.814945|37|31|1|0|1
336723|20191118094407.814878|20191118094407.814915|20191118094407.814946|37|31|1|1|1
336725|20191118094407.814879|20191118094407.814915|20191118094407.814948|36|33|1|0|2
336727|20191118094407.814880|20191118094407.814916|20191118094407.814949|36|33|1|1|1
336729|20191118094407.814881|20191118094407.814916|20191118094407.814950|35|34|1|0|1
336731|20191118094407.814882|20191118094407.814916|20191118094407.814951|34|35|1|0|1
336733|20191118094407.814883|20191118094407.814917|20191118094407.814953|34|36|1|1|2
336735|20191118094407.814900|20191118094407.814918|20191118094407.814954|18|36|17|1|1
336737|20191118094407.814905|20191118094407.814923|20191118094407.814955|18|32|5|5|1
336739|20191118094407.814909|20191118094407.814924|20191118094407.814957|15|33|4|1|2
336741|20191118094407.814912|20191118094407.814924|20191118094407.814958|12|34|3|0|1
336743|20191118094407.814916|20191118094407.814924|20191118094407.814959|8|35|4|0|1
336745|20191118094407.814919|20191118094407.814927|20191118094407.814961|8|34|3|3|2
336747|20191118094407.814927|20191118094407.814942|20191118094407.814962|15|20|8|15|1
336749|20191118094407.814933|20191118094407.814947|20191118094407.814963|14|16|6|5|1
336751|20191118094407.814937|20191118094407.814948|20191118094407.814964|11|16|4|1|1
336753|20191118094407.814945|20191118094407.814950|20191118094407.814965|5|15|8|2|1
336755|20191118094407.814952|20191118094407.814963|20191118094407.814967|11|4|7|13|2
336757|20191118094407.814957|20191118094407.814969|20191118094407.814981|12|12|5|6|14
336759|20191118094407.814961|20191118094407.814970|20191118094407.814982|9|12|4|1|1
336761|20191118094407.814967|20191118094407.814989|20191118094407.814991|22|2|6|19|9
336763|20191118094407.814988|20191118094407.815001|20191118094407.815003|13|2|21|12|12
336765|20191118094407.814995|20191118094407.815009|20191118094407.815011|14|2|7|8|8
336767|20191118094407.814998|20191118094407.815010|20191118094407.815012|12|2|3|1|1
336769|20191118094407.815005|20191118094407.815012|20191118094407.815014|7|2|7|2|2
336771|20191118094407.815012|20191118094407.815025|20191118094407.815028|13|3|7|13|14
336773|20191118094407.815018|20191118094407.815030|20191118094407.815032|12|2|6|5|4
336775|20191118094407.815022|20191118094407.815031|20191118094407.815033|9|2|4|1|1
336777|20191118094407.815028|20191118094407.815033|20191118094407.815044|5|11|6|2|11
336779|20191118094407.815047|20191118094407.815058|20191118094407.815060|11|2|19|25|16
336781|20191118094407.815052|20191118094407.815066|20191118094407.815067|14|1|5|8|7
336783|20191118094407.815056|20191118094407.815066|20191118094407.815069|10|3|4|0|2
336785|20191118094407.815062|20191118094407.815068|20191118094407.815070|6|2|6|2|1
336787|20191118094407.815069|20191118094407.815082|20191118094407.815084|13|2|7|14|14
336789|20191118094407.815074|20191118094407.815087|20191118094407.815089|13|2|5|5|5
336791|20191118094407.815078|20191118094407.815088|20191118094407.815090|10|2|4|1|1
336793|20191118094407.815085|20191118094407.815091|20191118094407.815092|6|1|7|3|2
336795|20191118094407.815092|20191118094407.815103|20191118094407.815109|11|6|7|12|17
336797|20191118094407.815097|20191118094407.815109|20191118094407.815111|12|2|5|6|2
336799|20191118094407.815101|20191118094407.815109|20191118094407.815112|8|3|4|0|1
336801|20191118094407.815106|20191118094407.815115|20191118094407.815117|9|2|5|6|5
336803|20191118094407.815115|20191118094407.815128|20191118094407.815130|13|2|9|13|13
336805|20191118094407.815120|20191118094407.815133|20191118094407.815134|13|1|5|5|4
336807|20191118094407.815124|20191118094407.815134|20191118094407.815136|10|2|4|1|2
336809|20191118094407.815131|20191118094407.815136|20191118094407.815137|5|1|7|2|1
336811|20191118094407.815137|20191118094407.815147|20191118094407.815150|10|3|6|11|13
336813|20191118094407.815141|20191118094407.815154|20191118094407.815157|13|3|4|7|7
336815|20191118094407.815145|20191118094407.815155|20191118094407.815158|10|3|4|1|1
336817|20191118094407.815153|20191118094407.815161|20191118094407.815163|8|2|8|6|5
336819|20191118094407.815159|20191118094407.815170|20191118094407.815172|11|2|6|9|9
336821|20191118094407.815165|20191118094407.815172|20191118094407.815173|7|1|6|2|1
336823|20191118094407.815170|20191118094407.815181|20191118094407.815184|11|3|5|9|11
336825|20191118094407.815176|20191118094407.815187|20191118094407.815189|11|2|6|6|5
336827|20191118094407.815179|20191118094407.815187|20191118094407.815190|8|3|3|0|1
336829|20191118094407.815185|20191118094407.815190|20191118094407.815192|5|2|6|3|2
336831|20191118094407.815192|20191118094407.815204|20191118094407.815206|12|2|7|14|14
336833|20191118094407.815197|20191118094407.815209|20191118094407.815211|12|2|5|5|5
336835|20191118094407.815200|20191118094407.815210|20191118094407.815212|10|2|3|1|1
336837|20191118094407.815206|20191118094407.815212|20191118094407.815214|6|2|6|2|2
336839|20191118094407.815213|20191118094407.815225|20191118094407.815228|12|3|7|13|14
336841|20191118094407.815218|20191118094407.815231|20191118094407.815233|13|2|5|6|5
336843|20191118094407.815221|20191118094407.815232|20191118094407.815234|11|2|3|1|1
336845|20191118094407.815229|20191118094407.815234|20191118094407.815236|5|2|8|2|2
336847|20191118094407.815235|20191118094407.815248|20191118094407.815250|13|2|6|14|14
336849|20191118094407.815240|20191118094407.815254|20191118094407.815256|14|2|5|6|6
336851|20191118094407.815244|20191118094407.815254|20191118094407.815257|10|3|4|0|1
336853|20191118094407.815252|20191118094407.815256|20191118094407.815258|4|2|8|2|1
336855|20191118094407.815258|20191118094407.815270|20191118094407.815273|12|3|6|14|15
336857|20191118094407.815263|20191118094407.815275|20191118094407.815277|12|2|5|5|4
336859|20191118094407.815267|20191118094407.815276|20191118094407.815278|9|2|4|1|1
336861|20191118094407.815273|20191118094407.815278|20191118094407.815280|5|2|6|2|2
336863|20191118094407.815279|20191118094407.815291|20191118094407.815294|12|3|6|13|14
336865|20191118094407.815284|20191118094407.815297|20191118094407.815299|13|2|5|6|5
336867|20191118094407.815288|20191118094407.815297|20191118094407.815300|9|3|4|0|1
336869|20191118094407.815295|20191118094407.815300|20191118094407.815302|5|2|7|3|2
336871|20191118094407.815302|20191118094407.815312|20191118094407.815315|10|3|7|12|13
336873|20191118094407.815307|20191118094407.815319|20191118094407.815321|12|2|5|7|6
336875|20191118094407.815310|20191118094407.815320|20191118094407.815323|10|3|3|1|2
336877|20191118094407.815316|20191118094407.815322|20191118094407.815324|6|2|6|2|1
336879|20191118094407.815323|20191118094407.815336|20191118094407.815338|13|2|7|14|14
336881|20191118094407.815329|20191118094407.815341|20191118094407.815343|12|2|6|5|5
336883|20191118094407.815333|20191118094407.815342|20191118094407.815344|9|2|4|1|1
336885|20191118094407.815339|20191118094407.815344|20191118094407.815346|5|2|6|2|2
336887|20191118094407.815344|20191118094407.815355|20191118094407.815357|11|2|5|11|11
