/home/fonwin/f9utwf/busy/logs/20191118/omstw.log.TwfNew.g5.txt
Count=10000|Abandoned=0|Rejected=0|Sending=10000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
3334|20191118094027.468196|20191118094027.468280|20191118094027.468293|84|13
3336|20191118094027.468213|20191118094027.468284|20191118094027.468296|71|12|17|4|3
3338|20191118094027.468218|20191118094027.468285|20191118094027.468297|67|12|5|1|1
3340|20191118094027.468222|20191118094027.468286|20191118094027.468298|64|12|4|1|1
3342|20191118094027.468226|20191118094027.468286|20191118094027.468299|60|13|4|0|1
3344|20191118094027.468230|20191118094027.468287|20191118094027.468301|57|14|4|1|2
3346|20191118094027.468234|20191118094027.468287|20191118094027.468302|53|15|4|0|1
3348|20191118094027.468249|20191118094027.468288|20191118094027.468303|39|15|15|1|1
3350|20191118094027.468257|20191118094027.468289|20191118094027.468305|32|16|8|1|2
3352|20191118094027.468265|20191118094027.468289|20191118094027.468306|24|17|8|0|1
3354|20191118094027.468269|20191118094027.468302|20191118094027.468307|33|5|4|13|1
3356|20191118094027.468274|20191118094027.468303|20191118094027.468308|29|5|5|1|1
3358|20191118094027.468278|20191118094027.468303|20191118094027.468309|25|6|4|0|1
3360|20191118094027.468282|20191118094027.468304|20191118094027.468310|22|6|4|1|1
3362|20191118094027.468286|20191118094027.468305|20191118094027.468311|19|6|4|1|1
3364|20191118094027.468289|20191118094027.468306|20191118094027.468312|17|6|3|1|1
3366|20191118094027.468293|20191118094027.468312|20191118094027.468314|19|2|4|6|2
3368|20191118094027.468297|20191118094027.468313|20191118094027.468315|16|2|4|1|1
3370|20191118094027.468305|20191118094027.468314|20191118094027.468318|9|4|8|1|3
3372|20191118094027.468309|20191118094027.468316|20191118094027.468320|7|4|4|2|2
3374|20191118094027.468316|20191118094027.468330|20191118094027.468332|14|2|7|14|12
3376|20191118094027.468322|20191118094027.468336|20191118094027.468338|14|2|6|6|6
3378|20191118094027.468326|20191118094027.468337|20191118094027.468339|11|2|4|1|1
3380|20191118094027.468334|20191118094027.468339|20191118094027.468341|5|2|8|2|2
3382|20191118094027.468340|20191118094027.468352|20191118094027.468355|12|3|6|13|14
3384|20191118094027.468345|20191118094027.468358|20191118094027.468360|13|2|5|6|5
3386|20191118094027.468349|20191118094027.468359|20191118094027.468361|10|2|4|1|1
3388|20191118094027.468356|20191118094027.468361|20191118094027.468363|5|2|7|2|2
3390|20191118094027.468362|20191118094027.468375|20191118094027.468378|13|3|6|14|15
3392|20191118094027.468367|20191118094027.468380|20191118094027.468382|13|2|5|5|4
3394|20191118094027.468371|20191118094027.468381|20191118094027.468384|10|3|4|1|2
3396|20191118094027.468378|20191118094027.468383|20191118094027.468385|5|2|7|2|1
3398|20191118094027.468384|20191118094027.468396|20191118094027.468398|12|2|6|13|13
3400|20191118094027.468389|20191118094027.468404|20191118094027.468406|15|2|5|8|8
3402|20191118094027.468394|20191118094027.468405|20191118094027.468407|11|2|5|1|1
3404|20191118094027.468400|20191118094027.468407|20191118094027.468409|7|2|6|2|2
3406|20191118094027.468407|20191118094027.468420|20191118094027.468423|13|3|7|13|14
3408|20191118094027.468412|20191118094027.468439|20191118094027.468441|27|2|5|19|18
3410|20191118094027.468416|20191118094027.468440|20191118094027.468443|24|3|4|1|2
3412|20191118094027.468436|20191118094027.468449|20191118094027.468451|13|2|20|9|8
3414|20191118094027.468445|20191118094027.468456|20191118094027.468458|11|2|9|7|7
3416|20191118094027.468449|20191118094027.468461|20191118094027.468469|12|8|4|5|11
3418|20191118094027.468453|20191118094027.468462|20191118094027.468470|9|8|4|1|1
3420|20191118094027.468459|20191118094027.468464|20191118094027.468472|5|8|6|2|2
3422|20191118094027.468465|20191118094027.468478|20191118094027.468481|13|3|6|14|9
3424|20191118094027.468470|20191118094027.468484|20191118094027.468486|14|2|5|6|5
